
Year,Mean equivalised household disposable income,Median equivalised household disposable income
1977,18175,16311
1978,19823,18045
1979,20739,18742
1980,21516,19345
1981,20909,18367
1982,20426,18083
1983,20965,18272
1984,21380,18847
1985,22815,19676
1986,23755,20474
1987,25330,21514
1988,27175,22862
1989,27523,23454
1990,29040,24042
1991,29377,24755
1992,28342,24032
1993,28026,23381
1995,28595,24000
1996,28419,24069
1997,30020,25403
1998,31374,26051
1999,32105,26598
2000,34072,28300
2001,34898,28776
2002,37649,30610
2003,38686,31600
2004,39149,32192
2005,40786,33089
2006,42121,33465
2007,43013,33439
2008,44518,33973
2009,41889,33546
2010,43349,33591
2011,41682,33544
2012,40740,32758
2013,39952,32007
2014,41582,32830
2015,42413,34255
2016,43796,34854
2017,43656,35794
2018,42936,34938
2019,43390,35224
2020,45108,36671
2021,44850,37414
2022,45338,37306
2023,43198,36384
2024,42684,36663
