"Table 1 - Median house price by former local authority district, England and Wales, year ending September 2020 to year ending September 2024 (£)",,,,,,,,
Country/Region code,Country/Region name,Local authority code,Local authority name,2020,2021,2022,2023,2024
E12000001,North East,E06000001,Hartlepool,"130,000","140,000","140,000","152,750","151,000"
E12000001,North East,E06000002,Middlesbrough,"135,000","140,500","147,500","150,000","153,000"
E12000001,North East,E06000003,Redcar and Cleveland,"134,995","145,000","150,000","159,000","165,000"
E12000001,North East,E06000004,Stockton-on-Tees,"152,975","161,250","160,000","175,000","175,000"
E12000001,North East,E06000005,Darlington,"150,000","162,000","160,000","167,500","165,000"
E12000001,North East,E06000047,County Durham,"120,000","135,000","130,000","130,600","137,000"
E12000001,North East,E06000057,Northumberland,"170,000","195,000","182,972","204,950","210,000"
E12000001,North East,E08000021,Newcastle upon Tyne,"165,000","186,100","190,000","204,995","195,000"
E12000001,North East,E08000022,North Tyneside,"172,250","185,000","185,000","198,500","193,000"
E12000001,North East,E08000023,South Tyneside,"135,000","150,000","147,748","155,000","158,342"
E12000001,North East,E08000024,Sunderland,"129,000","145,500","145,000","148,500","150,000"
E12000001,North East,E08000037,Gateshead,"142,000","153,000","147,000","156,000","159,975"
E12000002,North West,E06000006,Halton,"153,416","165,000","165,000","173,000","182,000"
E12000002,North West,E06000007,Warrington,"203,000","235,000","245,000","262,000","250,000"
E12000002,North West,E06000008,Blackburn with Darwen,"125,000","145,000","140,000","160,000","160,000"
E12000002,North West,E06000009,Blackpool,"118,000","125,000","130,000","135,000","133,500"
E12000002,North West,E06000049,Cheshire East,"242,000","273,000","274,995","285,000","290,000"
E12000002,North West,E06000050,Cheshire West and Chester,"211,748","240,000","240,000","255,998","255,000"
E12000002,North West,E06000063,Cumberland,"149,000","162,998","156,675","160,000","170,000"
E12000002,North West,E06000064,Westmorland and Furness,"194,000","225,000","230,000","243,000","240,000"
E12000002,North West,E07000117,Burnley,"100,000","119,000","125,000","117,500","125,000"
E12000002,North West,E07000118,Chorley,"179,999","197,000","190,000","207,250","217,500"
E12000002,North West,E07000119,Fylde,"210,000","225,000","225,000","244,998","240,000"
E12000002,North West,E07000120,Hyndburn,"110,000","120,000","127,000","127,000","135,000"
E12000002,North West,E07000121,Lancaster,"161,000","180,000","180,000","190,000","198,250"
E12000002,North West,E07000122,Pendle,"117,500","135,000","130,000","135,950","138,500"
E12000002,North West,E07000123,Preston,"153,000","175,000","178,250","192,000","202,000"
E12000002,North West,E07000124,Ribble Valley,"238,000","254,061","260,000","269,995","269,950"
E12000002,North West,E07000125,Rossendale,"145,000","170,000","168,000","175,000","180,000"
E12000002,North West,E07000126,South Ribble,"172,995","190,000","197,995","213,872","205,000"
E12000002,North West,E07000127,West Lancashire,"189,995","220,000","211,500","230,000","240,000"
E12000002,North West,E07000128,Wyre,"167,250","187,000","185,000","200,000","199,950"
E12000002,North West,E08000001,Bolton,"145,000","164,350","175,000","184,125","195,000"
E12000002,North West,E08000002,Bury,"180,000","215,000","223,000","228,000","235,000"
E12000002,North West,E08000003,Manchester,"195,000","225,000","240,000","243,000","257,500"
E12000002,North West,E08000004,Oldham,"141,000","173,000","180,000","185,000","195,000"
E12000002,North West,E08000005,Rochdale,"146,995","170,000","176,000","185,000","195,000"
E12000002,North West,E08000006,Salford,"186,000","207,000","227,000","222,000","225,000"
E12000002,North West,E08000007,Stockport,"233,750","275,000","280,000","293,000","290,000"
E12000002,North West,E08000008,Tameside,"155,250","175,500","190,000","200,000","207,750"
E12000002,North West,E08000009,Trafford,"283,000","308,500","332,000","340,000","340,000"
E12000002,North West,E08000010,Wigan,"150,000","165,000","177,000","185,000","185,000"
E12000002,North West,E08000011,Knowsley,"159,950","169,998","172,000","190,000","190,000"
E12000002,North West,E08000012,Liverpool,"132,000","157,625","155,000","160,500","160,000"
E12000002,North West,E08000013,St. Helens,"144,000","160,000","163,000","177,250","180,000"
E12000002,North West,E08000014,Sefton,"176,000","200,000","205,000","214,000","215,000"
E12000002,North West,E08000015,Wirral,"166,000","195,500","195,000","205,000","210,000"
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","120,000","128,000","132,250","130,000","135,000"
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"190,000","215,000","215,000","228,000","225,000"
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,"137,000","150,250","155,000","160,000","159,950"
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,"145,000","164,000","165,000","173,000","171,000"
E12000003,Yorkshire and The Humber,E06000014,York,"250,000","275,000","295,000","302,692","307,500"
E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,"229,000","255,000","260,000","270,000","265,000"
E12000003,Yorkshire and The Humber,E08000017,Doncaster,"139,995","155,000","162,500","165,000","170,000"
E12000003,Yorkshire and The Humber,E08000018,Rotherham,"145,500","166,995","170,000","180,000","185,000"
E12000003,Yorkshire and The Humber,E08000032,Bradford,"140,000","157,500","155,000","165,000","170,000"
E12000003,Yorkshire and The Humber,E08000033,Calderdale,"150,000","166,000","165,000","175,000","175,000"
