"Table 2 - Median gross annual workplace-based earnings by former local authority district, England and Wales, 2020 to 2024 (£)",,,,,,,,
Country/Region code,Country/Region name,Local authority code,Local authority name,2020,2021,2022,2023,2024
E12000001,North East,E06000001,Hartlepool,"28,093","28,332","30,114","32,313","32,917"
E12000001,North East,E06000002,Middlesbrough,"27,005","25,922","29,777","31,631","31,865"
E12000001,North East,E06000003,Redcar and Cleveland,"26,220","24,821","26,462","30,565","30,649"
E12000001,North East,E06000004,Stockton-on-Tees,"30,531","29,026","30,643","30,520","31,345"
E12000001,North East,E06000005,Darlington,"28,045","29,280","30,357","30,749","34,376"
E12000001,North East,E06000047,County Durham,"26,609","26,219","27,737","29,384","31,421"
E12000001,North East,E06000057,Northumberland,"27,015","27,681","29,686","30,939","32,359"
E12000001,North East,E08000021,Newcastle upon Tyne,"29,709","30,705","31,808","33,817","35,212"
E12000001,North East,E08000022,North Tyneside,"27,460","27,306","30,078","31,574","35,637"
E12000001,North East,E08000023,South Tyneside,"26,767","24,802","27,826","28,263","32,453"
E12000001,North East,E08000024,Sunderland,"28,376","26,820","28,160","29,672","32,927"
E12000001,North East,E08000037,Gateshead,"25,788","25,844","28,707","30,601","32,097"
E12000002,North West,E06000006,Halton,"30,990","29,557","33,784","36,317","36,472"
E12000002,North West,E06000007,Warrington,"31,017","32,018","32,986","34,963","39,205"
E12000002,North West,E06000008,Blackburn with Darwen,"25,339","27,551","28,306","31,159","35,505"
E12000002,North West,E06000009,Blackpool,"24,759","28,430","26,872","30,407","33,850"
E12000002,North West,E06000049,Cheshire East,"30,240","30,121","31,527","34,596","35,194"
E12000002,North West,E06000050,Cheshire West and Chester,"28,617","31,750","31,771","33,639","37,134"
E12000002,North West,E06000063,Cumberland,"33,303","32,761","32,094","34,795","37,391"
E12000002,North West,E06000064,Westmorland and Furness,"29,483","30,443","30,710","32,834","38,624"
E12000002,North West,E07000117,Burnley,"23,598","23,231","25,831","28,160","30,179"
E12000002,North West,E07000118,Chorley,"27,450","27,380","29,506","29,827","35,882"
E12000002,North West,E07000119,Fylde,"34,254","32,837","31,950","40,516","41,390"
E12000002,North West,E07000120,Hyndburn,"29,927","25,844","30,014","29,858","30,415"
E12000002,North West,E07000121,Lancaster,"29,533","28,111","30,183","30,462","33,280"
E12000002,North West,E07000122,Pendle,"23,354","24,355","25,758","30,256","28,698"
E12000002,North West,E07000123,Preston,"26,823","28,056","30,045","29,505","34,371"
E12000002,North West,E07000124,Ribble Valley,"38,291","38,490","36,347","43,092","41,782"
E12000002,North West,E07000125,Rossendale,"25,090","23,427","26,276","28,452","30,199"
E12000002,North West,E07000126,South Ribble,"30,835","30,171","31,402","33,243","37,083"
E12000002,North West,E07000127,West Lancashire,"29,652","27,453","32,110","35,205","35,326"
E12000002,North West,E07000128,Wyre,"25,981","24,824","27,007","29,002","30,527"
E12000002,North West,E08000001,Bolton,"25,756","26,808","27,489","29,901","30,445"
E12000002,North West,E08000002,Bury,"26,623","27,578","28,115","30,332","35,166"
E12000002,North West,E08000003,Manchester,"31,427","31,435","34,233","37,225","37,102"
E12000002,North West,E08000004,Oldham,"27,626","27,556","28,442","29,928","33,370"
E12000002,North West,E08000005,Rochdale,"25,984","26,481","27,704","31,016","31,193"
E12000002,North West,E08000006,Salford,"32,568","29,219","32,356","34,148","37,558"
E12000002,North West,E08000007,Stockport,"29,113","27,348","30,153","32,572","33,788"
E12000002,North West,E08000008,Tameside,"23,964","25,857","25,742","27,915","32,763"
E12000002,North West,E08000009,Trafford,"29,970","31,572","32,519","31,292","34,553"
E12000002,North West,E08000010,Wigan,"26,220","27,681","28,071","29,994","30,841"
E12000002,North West,E08000011,Knowsley,"35,926","28,644","30,203","32,604","37,680"
E12000002,North West,E08000012,Liverpool,"31,597","30,574","32,000","34,469","36,579"
E12000002,North West,E08000013,St. Helens,"27,114","32,451","29,145","30,255","31,665"
E12000002,North West,E08000014,Sefton,"27,181","29,572","30,618","33,774","32,634"
E12000002,North West,E08000015,Wirral,"26,438","26,825","28,282","29,983","32,314"
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","27,986","28,316","28,742","30,661","33,009"
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"29,407","28,558","30,124","31,363","34,203"
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,"26,213","26,899","27,777","32,741","34,569"
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,"30,567","29,947","30,446","32,294","34,296"
E12000003,Yorkshire and The Humber,E06000014,York,"31,096","32,501","33,077","34,450","36,836"
E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,"27,765","28,240","29,610","30,105","32,747"
E12000003,Yorkshire and The Humber,E08000017,Doncaster,"27,848","26,937","28,887","30,589","32,255"
E12000003,Yorkshire and The Humber,E08000018,Rotherham,"27,931","27,925","28,441","31,135","30,611"
